,Unnamed: 0,level_0,index,show_id,type,title,director,cast,country,date_added,release_year,rating,duration,listed_in,description,predicted_genres,genre1,genre2,genre3,Unnamed: 0.1
0,0.0,0.0,2122.0,s2123,TV Show,Stranger,,"Seung-woo Cho, Doona Bae, Joon-hyuk Lee, Kyeong-yeong Lee, Jae-myung Yoo, Hye-sun Shin",South Korea,"August 16, 2020",2020,TV-MA,2 Seasons,"Crime TV Shows, International TV Shows, Korean TV Shows","With the help of a gutsy female detective, a prosecutor who has lost the ability to feel empathy tackles a murder case amid political corruption.","['thriller', 'mystery', 'crime']",thriller,mystery,crime,
1,1.0,1.0,5599.0,s5600,Movie,Rocky Handsome,Nishikant Kamat,"John Abraham, Diya Chalwad, Shruti Haasan, Nishikant Kamat, Sharad Kelkar, Nathalia Kaur",India,"February 17, 2017",2016,TV-MA,119 min,"Action & Adventure, International Movies",A reclusive pawn shop owner sets his sights on revenge when vicious gangsters kidnap his drug-addicted neighbor's young daughter.,"['thriller', 'crime', 'action']",thriller,crime,action,
2,2.0,2.0,1857.0,s1858,Movie,The Three Deaths of Marisela Escobedo,Carlos Pérez Osorio,,Mexico,"October 14, 2020",2020,TV-MA,110 min,"Documentaries, International Movies",This documentary examines a mother's tireless crusade to jail her daughter's murderer after Mexico's justice system failed to do so.,"['documentary', 'crime', 'animal/ nature']",documentary,crime,animal/ nature,
3,3.0,3.0,5499.0,s5500,Movie,Chaahat,Mahesh Bhatt,"Naseeruddin Shah, Shah Rukh Khan, Pooja Bhatt, Anupam Kher, Ramya Krishnan, Avtar Gill, Mushtaq Khan",India,"May 1, 2017",1996,TV-14,148 min,"Dramas, International Movies, Romantic Movies",A vulnerable singer is forced to choose between the girl he loves and another who has developed an unhealthy obsession with him.,"['thriller', 'romance', 'drama']",thriller,romance,drama,
4,4.0,4.0,8502.0,s8503,Movie,The Seven Five,Tiller Russell,,United States,"April 14, 2017",2014,R,104 min,Documentaries,"This riveting film examines the case of Mike Dowd, a corrupt Brooklyn cop who became dirtier than the drug dealers he was supposed to be policing.","['thriller', 'drama', 'crime']",thriller,drama,crime,
5,5.0,5.0,8105.0,s8106,Movie,Stripes,Ivan Reitman,"Bill Murray, Harold Ramis, Warren Oates, P.J. Soles, Sean Young, John Candy, John Larroquette, John Voldstad, John Diehl, Lance LeGault, Judge Reinhold",United States,"September 1, 2019",1981,R,106 min,"Classic Movies, Comedies, Cult Movies","After losing everything, an indolent sad sack impulsively joins the U.S. Army and cajoles his best friend into enlisting, too.","['war/action', 'drama', 'comedy']",war/action,drama,comedy,
6,6.0,6.0,1783.0,s1784,Movie,The Day of the Lord,Santiago Alvarado Ilarri,"Juli Fàbregas, Ximena Romo, Héctor Illanes, Dolores Heredia","Mexico, Spain","October 30, 2020",2020,TV-MA,93 min,"Horror Movies, International Movies","In this horror movie, a retired priest haunted by his sins is pulled back into the darkness when a friend begs him to help his possessed daughter.","['thriller', 'supernatural', 'horror']",thriller,supernatural,horror,
7,7.0,7.0,1128.0,s1129,Movie,S.W.A.T.: Under Siege,Tony Giglio,"Sam Jaeger, Michael Jai White, Adrianne Palicki, Ty Olsson, Kyra Zagorsky, Olivia Cheng, Lisa Chandler, Monique Ganderton, Matthew Marsden, Chris Gauthier",United States,"April 1, 2021",2017,R,89 min,"Action & Adventure, International Movies","When a S.W.A.T. team takes in a mysterious, high-profile prisoner, international threats unleash a barrage of attacks on their compound to retrieve him.","['thriller', 'crime', 'action']",thriller,crime,action,
8,8.0,8.0,2166.0,s2167,Movie,A Go! Go! Cory Carson Summer Camp,"Stanley Moore, Alex Woo","Alan C. Lim, Smith Foreman, Abigail Vibat, Pfifer Chastain, Jim Capobianco, Neena-Sinaii Simpo, Eli Morse, Adelaide Hirasaki, Paul Killam, Kerry Gudjohnsen, Maisie Benson",,"August 4, 2020",2020,TV-Y,21 min,Children & Family Movies,"Cory's spending the summer at Camp Friendship with his best friend, Freddie. But jealousy flares when Freddie brings his cousin Rosie along for the ride.","['drama', 'coming-of-age', 'comedy']",drama,coming-of-age,comedy,
9,9.0,9.0,3922.0,s3923,Movie,Dabbe 5: Zehr-i Cin,Hasan Karacadağ,"Nil Günal, Ümit Bülent Dinçer, Sultan Köroğlu Kılıç, Emir Özbek Yıldız, Pelin Acar, Murat Seviş",Turkey,"April 12, 2019",2014,TV-MA,133 min,"Horror Movies, International Movies","When Dilek becomes haunted by evil spirits and loses control of her body, she seeks the help of a woman with dark secrets to cure her.","['thriller', 'supernatural/paranormal', 'horror']",thriller,supernatural/paranormal,horror,
10,10.0,10.0,5576.0,s5577,Movie,Jim Norton: Mouthful of Shame,Shannon Hartman,Jim Norton,United States,"March 14, 2017",2017,TV-MA,62 min,Stand-Up Comedy,"In this unrestricted jaunt through a gleefully filthy mind, comic Jim Norton offers a personal perspective on romance, desire and sexual proclivities.","['romance', 'comedy', 'supernatural/thriller']",romance,comedy,supernatural/thriller,
11,11.0,11.0,4029.0,s4030,TV Show,Bangkok Love Stories: Hey You!,,"Wanida Termthanaporn, Isariya Patharamanop, Nontanun Anchuleepradit, Chonnikan Netjui, Attharut Krongrasri, Sumet Ong-Art, Penpak Sirikul, Suppakorn Chaiyo, Thawat Pornrattanaprasert, M.L. Kwantip Devakula, Yingsak Chonglertjetsadawong, Apichet Atirattana, Rika Ishige",,"March 8, 2019",2018,TV-14,1 Season,"International TV Shows, Romantic TV Shows, TV Dramas",A loving couple become rivals when Belle opens a fusion bistro next to her ex-boyfriend Kram’s traditional restaurant in Bangkok’s chic Ari district.,"['romantic comedy', 'drama', 'action/adventure']",romantic comedy,drama,action/adventure,
12,12.0,12.0,7669.0,s7670,Movie,Open Season,"Roger Allers, Jill Culton","Martin Lawrence, Ashton Kutcher, Gary Sinise, Debra Messing, Billy Connolly, Georgia Engel, Jon Favreau, Jane Krakowski, Gordon Tootoosis, Patrick Warburton",United States,"September 1, 2019",2006,PG,86 min,"Children & Family Movies, Comedies","After saving a deer from a hunter's clutches, a domesticated grizzly finds himself relocated to the wild – and unprepared for the real world.","['family', 'comedy', 'adventure']",family,comedy,adventure,
13,13.0,13.0,7039.0,s7040,TV Show,I Am Me!,,"Germán Bracco, Daniela Luque, José Antonio Becerril, Paula Serrano, Héctor Holten, Héctor Loeza, Edson Loyo, Brandon Rosas, José Sefami, Tiosha Bojórquez",Mexico,"March 3, 2017",2016,TV-14,1 Season,"International TV Shows, Spanish-Language TV Shows, TV Comedies",Aspiring hip-hop star Francisco builds a name for himself as a musical artist while his conscience helps him through family drama and discrimination.,"['music', 'drama', 'coming-of-age']",music,drama,coming-of-age,
14,14.0,14.0,247.0,s248,Movie,Sweet Girl,Brian Andrew Mendoza,"Jason Momoa, Isabela Merced, Manuel Garcia-Rulfo, Amy Brenneman, Adria Arjona, Raza Jaffrey, Justin Bartha, Lex Scott Davis, Michael Raymond-James",United States,"August 20, 2021",2021,R,110 min,"Action & Adventure, Dramas","He lost the love of his life to a pharmaceutical company's greed. Now his daughter is without a mother, and he's without justice. For now.","['thriller', 'drama', 'revenge/retribution']",thriller,drama,revenge/retribution,
15,15.0,15.0,2285.0,s2286,Movie,Players,"Abbas Alibhai Burmawalla, Mastan Alibhai Burmawalla","Vinod Khanna, Abhishek Bachchan, Bobby Deol, Sonam Kapoor, Bipasha Basu, Neil Nitin Mukesh, Sikander Kher, Omi Vaidya, Johny Lever, Shweta Bhardwaj",India,"July 5, 2020",2012,TV-14,162 min,"Action & Adventure, International Movies","Learning of a fortune in gold being secretly shipped to Romania, master thieves Charlie and Riya assemble a crack team to steal it.","['crime/thriller', 'action/adventure', 'celebrity/entertainment']",crime/thriller,action/adventure,celebrity/entertainment,
16,16.0,16.0,7680.0,s7681,Movie,Oru Vishsheshapetta Biryani Kissa,Kiran Narayanan,"Nedumudi Venu, V.K. Sriraman, Lena, Sunil Sukhada, Mammukoya, Joju George, Bhagath Baby Manuel, Sasi Kalinga",India,"August 1, 2018",2017,TV-14,122 min,"Comedies, Dramas, International Movies","When the village's biryani cook unexpectedly passes, a widow steps up to the plate and takes on new delectable challenges.","['food/cooking', 'drama', 'comedy']",food/cooking,drama,comedy,
17,17.0,17.0,3847.0,s3848,TV Show,Cinta Si Wedding Planner,,"Mira Filzah, Ady Putra, Fadlan Hazim, Shima Anuar, Nazeera Sardi, Dian P. Ramlee, Wan Sharmila, Rosnah Johari, Idris Md Diah",,"May 8, 2019",2015,TV-14,1 Season,"International TV Shows, Romantic TV Shows, TV Dramas",A wedding planner and an ex-Marine both have been unlucky in love. But a chance meeting and a spat over a parking space soon change all that.,"['romantic comedy', 'romance', 'drama']",romantic comedy,romance,drama,
18,18.0,18.0,872.0,s873,Movie,Sleight,J.D. Dillard,"Jacob Latimore, Seychelle Gabriel, Sasheer Zamata, Storm Reid, Cameron Esposito, Dulé Hill, Michael Villar, Brandon Johnson, Donzaleigh Abernathy, Jay Walker",United States,"May 16, 2021",2016,R,89 min,"Dramas, Independent Movies, Sci-Fi & Fantasy","Struggling to raise his little sister on his own, a young street magician turns to drug dealing, unaware of how ruthless his supplier can be.","['thriller', 'drama', 'crime']",thriller,drama,crime,
19,19.0,19.0,4165.0,s4166,Movie,Animas,"Laura Alvea, José Ortuño","Clare Durant, Iván Pellicer, Luis Bermejo, Liz Lobato, Chacha Huang, Ángela Molina","Spain, Belgium","January 25, 2019",2018,TV-MA,88 min,"Horror Movies, International Movies",A teen's eerie visions become increasingly frequent and terrifying after her longtime friend gets a girlfriend and his abusive dad is strangely killed.,"['thriller', 'mystery', 'horror']",thriller,mystery,horror,
20,20.0,20.0,6113.0,s6114,Movie,Aliens Ate My Homework,Sean McNamara,"William Shatner, Dan Payne, Kirsten Robek, Ty Consiglio, Sean McNamara, Christian Convery, Jayden Greig, Lauren McNamara, Alex Zahara, Sandy Robson",United States,"March 6, 2018",2018,PG,90 min,"Children & Family Movies, Comedies, Sci-Fi & Fantasy",Tiny alien lawmen fly into Rod's bedroom and recruit him into helping them stop an intergalactic criminal – who's disguised as a very familiar human.,"['science fiction', 'comedy', 'action']",science fiction,comedy,action,
21,21.0,21.0,7560.0,s7561,Movie,Natalia Valdebenito: Gritona,Natalia Valdebenito,Natalia Valdebenito,United States,"November 10, 2017",2017,TV-MA,76 min,Stand-Up Comedy,"Chile's Natalia Valdebenito hits Santiago's Teatro Caupolicán with a one-woman show steeped in irony, a dash of improv and her own personal style.","['stand-up comedy', 'comedy', 'musical comedy']",stand-up comedy,comedy,musical comedy,
22,22.0,22.0,8768.0,s8769,Movie,Y Tu Mamá También,Alfonso Cuarón,"Maribel Verdú, Gael García Bernal, Diego Luna, Daniel Giménez Cacho, Ana López Mercado, Nathan Grinberg, Verónica Langer, María Aura, Giselle Audirac, Arturo Ríos, Andrés Almeida, Diana Bracho, Emilio Echevarría",Mexico,"June 1, 2017",2001,R,106 min,"Dramas, Independent Movies, International Movies","When rich teens Tenoch and Julio meet the alluring, older Luisa, they try to impress her with stories of a road trip, then convince her to join them.","['romance', 'coming-of-age', 'road trip']",romance,coming-of-age,road trip,
23,23.0,23.0,2577.0,s2578,Movie,Cracked Up: The Darrell Hammond Story,Michelle Esrick,Darrell Hammond,United States,"May 1, 2020",2018,TV-MA,97 min,Documentaries,"""Saturday Night Live"" star Darrell Hammond reveals the extreme abuse he suffered during childhood, a trauma that nearly destroyed his life as an adult.","['drama', 'comedy', 'biography']",drama,comedy,biography,
24,24.0,24.0,2450.0,s2451,TV Show,Midnight Diner,,"Kaoru Kobayashi, Toshiki Ayata, Mansaku Fuwa, Yutaka Matsushige, Ken Mitsuishi, Shohei Uno, Takashi Yamanaka, Kiyofumi Kaneko, Risa Sudou, Asako Kobayashi, Nahoko Yoshimoto, Joe Odagiri",Japan,"June 1, 2020",2014,TV-MA,3 Seasons,"International TV Shows, TV Dramas","A scarred man operates a midnight diner in the backstreets of Shinjuku. No one knows his name or his story, but his customers each bring him theirs.","['thriller', 'mystery', 'drama']",thriller,mystery,drama,
25,25.0,25.0,1459.0,s1460,Movie,Mean Girls 2,Melanie Mayron,"Meaghan Martin, Maiara Walsh, Jennifer Stone, Nicole Gale Anderson, Claire Holt, Diego Boneta, Linden Ashby, Rhoda Griffis, Mike Pniewski, Patrick Johnson, Tim Meadows",United States,"January 1, 2021",2011,PG-13,98 min,Comedies,The father of a high school pariah offers to pay another student's way through college if she makes friends with his outcast daughter.,"['drama', 'comedy', 'teen/coming-of-age']",drama,comedy,teen/coming-of-age,
