id,title,url,publishedDate,topicUri,abstract
1,Advances in Computers and Society Studies #1,http://example.org/article/1,2024-02-27,http://topbraid.org/dataset/benchmark/arxiv/taxonomy/cs.CY,"This paper provides a concise overview of recent developments in Computers and Society, highlighting key findings and future research directions."
2,Advances in Systems and Control Studies #2,http://example.org/article/2,2024-01-28,http://topbraid.org/dataset/benchmark/arxiv/taxonomy/cs.SY,"This paper provides a concise overview of recent developments in Systems and Control, highlighting key findings and future research directions."
3,Advances in Exactly Solvable and Integrable Systems Studies #3,http://example.org/article/3,2024-11-04,http://topbraid.org/dataset/benchmark/arxiv/taxonomy/nlin.SI,"This paper provides a concise overview of recent developments in Exactly Solvable and Integrable Systems, highlighting key findings and future research directions."
4,Advances in Algebraic Geometry Studies #4,http://example.org/article/4,2024-06-20,http://topbraid.org/dataset/benchmark/arxiv/taxonomy/math.AG,"This paper provides a concise overview of recent developments in Algebraic Geometry, highlighting key findings and future research directions."
5,Advances in General Economics Studies #5,http://example.org/article/5,2024-08-16,http://topbraid.org/dataset/benchmark/arxiv/taxonomy/econ.GN,"This paper provides a concise overview of recent developments in General Economics, highlighting key findings and future research directions."
6,Advances in Commutative Algebra Studies #6,http://example.org/article/6,2023-04-15,http://topbraid.org/dataset/benchmark/arxiv/taxonomy/math.AC,"This paper provides a concise overview of recent developments in Commutative Algebra, highlighting key findings and future research directions."
7,Advances in Mathematical Software Studies #7,http://example.org/article/7,2024-11-22,http://topbraid.org/dataset/benchmark/arxiv/taxonomy/cs.MS,"This paper provides a concise overview of recent developments in Mathematical Software, highlighting key findings and future research directions."
8,Advances in Pattern Formation and Solitons Studies #8,http://example.org/article/8,2024-10-19,http://topbraid.org/dataset/benchmark/arxiv/taxonomy/nlin.PS,"This paper provides a concise overview of recent developments in Pattern Formation and Solitons, highlighting key findings and future research directions."
9,Advances in High Energy Physics - Theory Studies #9,http://example.org/article/9,2023-06-12,http://topbraid.org/dataset/benchmark/arxiv/taxonomy/hep-th,"This paper provides a concise overview of recent developments in High Energy Physics - Theory, highlighting key findings and future research directions."
10,Advances in Multiagent Systems Studies #10,http://example.org/article/10,2024-11-16,http://topbraid.org/dataset/benchmark/arxiv/taxonomy/cs.MA,"This paper provides a concise overview of recent developments in Multiagent Systems, highlighting key findings and future research directions."
11,Advances in Spectral Theory Studies #11,http://example.org/article/11,2025-03-20,http://topbraid.org/dataset/benchmark/arxiv/taxonomy/math.SP,"This paper provides a concise overview of recent developments in Spectral Theory, highlighting key findings and future research directions."
12,Advances in Spectral Theory Studies #12,http://example.org/article/12,2024-09-27,http://topbraid.org/dataset/benchmark/arxiv/taxonomy/math.SP,"This paper provides a concise overview of recent developments in Spectral Theory, highlighting key findings and future research directions."
13,Advances in Atmospheric and Oceanic Physics Studies #13,http://example.org/article/13,2024-09-20,http://topbraid.org/dataset/benchmark/arxiv/taxonomy/physics.ao-ph,"This paper provides a concise overview of recent developments in Atmospheric and Oceanic Physics, highlighting key findings and future research directions."
14,Advances in Strongly Correlated Electrons Studies #14,http://example.org/article/14,2024-04-03,http://topbraid.org/dataset/benchmark/arxiv/taxonomy/cond-mat.str-el,"This paper provides a concise overview of recent developments in Strongly Correlated Electrons, highlighting key findings and future research directions."
15,Advances in Number Theory Studies #15,http://example.org/article/15,2023-04-05,http://topbraid.org/dataset/benchmark/arxiv/taxonomy/math.NT,"This paper provides a concise overview of recent developments in Number Theory, highlighting key findings and future research directions."
